CoflowID	FLOWID	Start time	Endtime	Interval
7	FLOWID0	1579662390.14	1579662600.26	210.120931864
7	FLOWID1	1579662390.14	1579662601.32	211.17694521
7	FLOWID2	1579662402.18	1579662639.49	237.307898045
7	FLOWID3	1579662409.63	1579662650.91	241.279985905
7	FLOWID4	1579662414.65	1579662655.83	241.180027008
7	FLOWID5	1579662426.66	1579662662.27	235.604097128
7	FLOWID6	1579662426.66	1579662663.55	236.892015934
9	FLOWID0	1579662394.13	1579671320.29	8926.15052891
9	FLOWID1	1579662462.8	1579671326.33	8863.52800798
9	FLOWID2	1579662462.8	1579671326.98	8864.17996502
9	FLOWID3	1579662668.17	1579671331.62	8663.44801307
9	FLOWID4	1579662668.17	1579671332.25	8664.07598305
9	FLOWID5	1579662668.17	1579671332.93	8664.75999498
9	FLOWID6	1579662668.17	1579671333.62	8665.45197701
9	FLOWID7	1579662668.17	1579671334.21	8666.03596997
9	FLOWID8	1579662668.17	1579671334.91	8666.7439611
4	FLOWID0	1579662339.13	1579717581.43	55242.2931111
4	FLOWID1	1579662377.22	1579717582.29	55205.0680041
4	FLOWID2	1579662377.22	1579717582.51	55205.2880199
4	FLOWID3	1579662377.22	1579717582.72	55205.5000198
