CoflowID	FlowNum	Starttime	Endtime	Interval
COFLOWID13	14	1579853810.33	1579853872.37	62.040345192
COFLOWID20	7	1579853840.33	1579853903.82	63.4945249557
COFLOWID14	137	1579853812.33	1579854807.41	995.08655405
COFLOWID7	73	1579853795.33	1579854994.95	1199.61448193
COFLOWID6	37	1579853764.33	1579855790.06	2025.7285471
COFLOWID9	2912	1579853799.33	1579867119.53	13320.1985919
COFLOWID16	5117	1579853821.33	1579868086.15	14264.82301
COFLOWID4	3132	1579853744.33	1580083577.49	229833.159996
COFLOWID12	20286	1579853810.33	1580541192.87	687382.539997
