CoflowID	FLOWID	Start time	Endtime	Interval
7	FLOWID0	1579662389.67	1579662877.32	487.651717901
7	FLOWID1	1579662389.67	1579662878.89	489.227758169
2	FLOWID0	1579662333.66	1579662879.88	546.222398043
7	FLOWID2	1579662395.49	1579662905.0	509.516000032
7	FLOWID3	1579662419.91	1579662960.71	540.795968056
7	FLOWID4	1579662419.91	1579662961.95	542.039986849
7	FLOWID5	1579662428.03	1579662971.8	543.772024155
7	FLOWID6	1579662428.03	1579662973.01	544.987988949
7	FLOWID7	1579662439.83	1579662979.92	540.0919981
7	FLOWID8	1579662439.83	1579662981.1	541.275999069
7	FLOWID9	1579662439.83	1579662982.23	542.407989979
7	FLOWID10	1579662439.83	1579662983.25	543.419972897
7	FLOWID11	1579662439.83	1579662984.34	544.515976191
9	FLOWID0	1579662393.67	1579670440.4	8046.72999883
9	FLOWID1	1579662485.85	1579670445.75	7959.89202499
9	FLOWID2	1579662485.85	1579670446.51	7960.66000199
9	FLOWID3	1579662485.85	1579670447.16	7961.3039999
9	FLOWID4	1579662859.57	1579670450.7	7591.12799597
9	FLOWID5	1579662859.57	1579670451.35	7591.77598906
9	FLOWID6	1579662859.57	1579670452.04	7592.47200322
9	FLOWID7	1579662859.57	1579670452.71	7593.13596702
4	FLOWID0	1579662338.66	1579680710.33	18371.6701701
