CoflowID	FlowNum	Starttime	Endtime	Interval
COFLOWID13	14	1579853811.68	1579853872.97	61.2933290005
COFLOWID15	1	1579853818.68	1579853882.49	63.8102228642
COFLOWID20	7	1579853841.68	1579853955.06	113.385569811
COFLOWID14	137	1579853813.69	1579854545.78	732.082417011
COFLOWID7	73	1579853796.68	1579854652.81	856.124717951
COFLOWID9	2912	1579853800.68	1579860543.21	6742.52862
COFLOWID16	5117	1579853822.68	1579867576.58	13753.8983231
COFLOWID4	3132	1579853745.67	1579937280.97	83535.299556
COFLOWID12	20286	1579853811.68	1580482531.08	628719.402049
