CoflowID	FlowNum	Starttime	Endtime	Interval
COFLOWID13	14	1579853812.2	1579853872.8	60.6016559601
COFLOWID20	7	1579853842.19	1579853906.87	64.6765489578
COFLOWID2	2	1579853741.19	1579854751.24	1010.0512352
COFLOWID14	137	1579853814.19	1579854766.62	952.435813904
COFLOWID7	73	1579853797.2	1579854949.8	1152.59723091
COFLOWID9	2912	1579853801.19	1579871178.24	17377.052983
COFLOWID16	5117	1579853823.19	1579873149.95	19326.7645938
COFLOWID4	3132	1579853746.19	1579902421.01	48674.8256538
COFLOWID12	20286	1579853812.2	1580466544.51	612732.310428
