CoflowID	FLOWID	Start time	Endtime	Interval
8	FLOWID0	1579662391.52	1579662440.1	48.5755689144
10	FLOWID0	1579662393.59	1579662442.3	48.7104771137
7	FLOWID0	1579662387.54	1579662743.92	356.375876188
7	FLOWID1	1579662424.32	1579662964.32	539.995972872
7	FLOWID2	1579662424.32	1579662966.51	542.187947035
7	FLOWID3	1579662433.62	1579662981.66	548.039997816
7	FLOWID4	1579662433.62	1579662983.68	550.059973955
7	FLOWID5	1579662447.15	1579662994.62	547.468000889
7	FLOWID6	1579662459.79	1579663003.19	543.395983934
7	FLOWID7	1579662475.14	1579663009.9	534.756030083
7	FLOWID8	1579662475.14	1579663012.18	537.036031008
2	FLOWID0	1579662331.52	1579663050.26	718.741722107
5	FLOWID0	1579662343.52	1579663884.36	1540.83743501
9	FLOWID0	1579662391.53	1579668061.01	5669.47479296
9	FLOWID1	1579662526.07	1579668064.87	5538.79196
9	FLOWID2	1579662526.07	1579668065.69	5539.61593699
9	FLOWID3	1579662526.07	1579668066.4	5540.32394505
9	FLOWID4	1579662526.07	1579668067.24	5541.16792989
4	FLOWID0	1579662336.53	1579714288.81	51952.284045
4	FLOWID1	1579662544.73	1579714289.66	51744.9359682
4	FLOWID2	1579662544.73	1579714289.91	51745.187947
4	FLOWID3	1579662544.73	1579714290.15	51745.4199491
