CoflowID	FLOWID	Start time	Endtime	Interval
7	FLOWID0	1579662386.99	1579662519.84	132.846853971
7	FLOWID1	1579662387.73	1579662524.53	136.8000319
7	FLOWID2	1579662389.15	1579662528.08	138.923972845
7	FLOWID3	1579662413.49	1579662537.02	123.528012991
9	FLOWID0	1579662391.0	1579669327.93	6936.93753099
9	FLOWID1	1579662458.24	1579669333.26	6875.01998901
9	FLOWID2	1579662458.24	1579669334.04	6875.79999113
9	FLOWID3	1579662458.24	1579669334.76	6876.51997209
9	FLOWID4	1579662655.06	1579669337.82	6682.75991297
9	FLOWID5	1579662655.06	1579669338.63	6683.56389904
9	FLOWID6	1579662655.06	1579669339.27	6684.20390391
4	FLOWID0	1579662335.99	1579692118.5	29782.5032091
4	FLOWID1	1579662371.98	1579692118.94	29746.9600232
