CoflowID	FlowNum	Starttime	Endtime	Interval
COFLOWID17	1	1579853824.21	1579853892.21	67.9938950539
COFLOWID13	14	1579853809.22	1579853992.45	183.232553959
COFLOWID7	73	1579853794.21	1579854205.34	411.126664877
COFLOWID14	137	1579853811.21	1579854603.41	792.192376852
COFLOWID19	3	1579853830.21	1579856214.75	2384.53156686
COFLOWID9	2912	1579853798.22	1579869380.67	15582.4560568
COFLOWID16	5117	1579853820.25	1579871191.79	17371.5378039
COFLOWID4	3132	1579853743.21	1579940235.16	86491.9502809
COFLOWID12	20286	1579853809.21	1580400523.85	546714.632829
