CoflowID	FLOWID	Start time	Endtime	Interval
7	FLOWID0	1579662388.0	1579662912.99	524.99138689
7	FLOWID1	1579662389.09	1579662933.89	544.792063951
7	FLOWID2	1579662389.09	1579662935.7	546.604014874
7	FLOWID3	1579662393.26	1579662952.55	559.292002916
7	FLOWID4	1579662419.99	1579663007.73	587.748019934
7	FLOWID5	1579662419.99	1579663009.65	589.664002895
7	FLOWID6	1579662419.99	1579663011.35	591.363995075
7	FLOWID7	1579662419.99	1579663012.92	592.93602109
7	FLOWID8	1579662433.96	1579663021.29	587.328005075
7	FLOWID9	1579662433.96	1579663022.93	588.968005896
7	FLOWID10	1579662433.96	1579663024.53	590.564004183
7	FLOWID11	1579662452.23	1579663028.07	575.839990854
6	FLOWID0	1579662357.0	1579663464.71	1107.70666194
9	FLOWID0	1579662392.01	1579668797.84	6405.82792401
9	FLOWID1	1579662484.59	1579668802.43	6317.83598804
9	FLOWID2	1579662670.99	1579668806.3	6135.304003
9	FLOWID3	1579662670.99	1579668807.33	6136.33201003
9	FLOWID4	1579662670.99	1579668807.95	6136.95598602
9	FLOWID5	1579662670.99	1579668808.62	6137.62400508
4	FLOWID0	1579662337.0	1579733752.54	71415.5397148
4	FLOWID1	1579662404.49	1579733753.7	71349.2120681
4	FLOWID2	1579662404.49	1579733753.89	71349.4000881
4	FLOWID3	1579662404.49	1579733754.06	71349.576067
4	FLOWID4	1579662404.49	1579733754.25	71349.7680552
4	FLOWID5	1579662404.49	1579733754.44	71349.95205
