CoflowID	FLOWID	Start time	Endtime	Interval
1	FLOWID0	1579662324.6	1579662327.99	3.39113092422
7	FLOWID0	1579662390.61	1579662680.31	289.699760914
7	FLOWID1	1579662394.17	1579662734.89	340.719995975
7	FLOWID2	1579662396.19	1579662745.26	349.071980953
7	FLOWID3	1579662396.19	1579662746.35	350.155982018
7	FLOWID4	1579662400.89	1579662754.65	353.760041952
7	FLOWID5	1579662406.8	1579662761.57	354.775980949
7	FLOWID6	1579662406.8	1579662762.94	356.140007019
7	FLOWID7	1579662406.8	1579662764.18	357.383991003
7	FLOWID8	1579662426.04	1579662770.27	344.232001066
7	FLOWID9	1579662426.04	1579662771.51	345.476003885
9	FLOWID0	1579662394.61	1579669418.87	7024.25648594
9	FLOWID1	1579662460.53	1579669423.81	6963.27998805
9	FLOWID2	1579662460.53	1579669424.53	6964.00000215
9	FLOWID3	1579662460.53	1579669425.39	6964.85600305
9	FLOWID4	1579662460.53	1579669426.06	6965.53200006
9	FLOWID5	1579662785.17	1579669428.03	6642.85598087
9	FLOWID6	1579662785.17	1579669428.55	6643.37596488
4	FLOWID0	1579662339.61	1579714924.83	52585.221766
4	FLOWID1	1579662376.67	1579714925.64	52548.9760199
4	FLOWID2	1579662376.67	1579714925.87	52549.2041249
4	FLOWID3	1579662376.67	1579714926.12	52549.4561329
