CoflowID	FlowNum	Starttime	Endtime	Interval
COFLOWID3	2	1579853742.87	1579853785.74	42.8708329201
COFLOWID13	14	1579853810.87	1579853924.84	113.96822691
COFLOWID14	137	1579853812.87	1579854659.79	846.922646999
COFLOWID7	73	1579853795.9	1579854705.28	909.379581928
COFLOWID19	3	1579853831.87	1579856290.85	2458.98140192
COFLOWID9	2912	1579853799.92	1579869602.58	15802.6654079
COFLOWID16	5117	1579853821.87	1579872117.95	18296.0774531
COFLOWID4	3132	1579853744.87	1580018198.2	164453.330735
COFLOWID12	20286	1579853810.87	1580516021.47	662210.604713
